ID,Rating,Votes,Title,Author
25720029,7.5,1420,宿命,
3244502,8.0,734,藏地密码之5：马雅迷宫,何马
11588823,8.0,734,丝绸,（意）亚历山德罗•巴里科
26742634,8.0,734,白昼的死角,[日] 高木彬光
26422275,7.2,2256,向死而生,
30468752,7.9,829,文学少女对数学少女,
5406572,7.8,941,我是猫,（日）夏目漱石
4062735,8.4,469,对生命说是,[澳] 阿南朵
19894466,8.4,469,爱情笔记,[英] 阿兰·德波顿
1076105,7.5,1419,后窗看电影,卫西谛 / 黄小璐 / 徐霞 主编
5263570,8.1,652,读库1004,
1031700,9.2,225,两汉经学今古文平议,钱穆
2209114,8.9,290,什么是哲学,吉尔·德勒兹 / 菲力克斯·迦塔利
4264066,8.9,290,权威与个人,(英) 罗素
25735313,8.9,290,历史学家的技艺,(法)布洛克（Marc Bloch）
26838822,8.9,290,词与物,(法) 米歇尔·福柯
27069087,8.9,290,慈悲的滋味:丰子恺散文漫画精选集,
33393524,7.5,1418,青年变革者,
1028894,8.5,423,姹紫嫣红《牡丹亭》,白先勇
3183283,8.5,423,无常,
30133690,8.5,423,无止境的逃离,[土耳其] 哈坎·甘迪
3258458,7.0,3175,贼猫,
1316549,8.7,348,极端的年代,艾瑞克·霍布斯鲍姆
6023969,8.7,348,论个人在历史上的作用问题,[俄] 普列汉诺夫
25783249,8.7,348,無用的日子,佐野洋子
25848311,8.7,348,杨洁自述：我的九九八十一难,杨洁
25862900,8.7,348,话/镜,[以] 盖伊·多伊彻
27050197,8.7,348,巴黎伦敦落魄记,【英】乔治·奥威尔
1036303,8.3,521,千只鹤・睡美人,（日）川端康成
3729665,8.3,521,欧洲同性恋史,【法】弗洛朗斯·塔马涅
4187474,8.3,521,西方世界的兴起,[美]道格拉斯·诺斯 / 罗伯特·托马斯
27042798,8.3,521,世界的水手,吴琦
1086337,8.6,383,汤姆·索亚历险记(青少版),
27127486,8.6,383,天狼星的阴影,(美) W.S.默温
3699210,7.9,828,蛛丝马迹,
10456813,7.9,828,春风沉醉的晚上,
24844045,7.9,828,砂器,松本清张
2232921,7.7,1072,樱之恋系列 （全8种）,
26889424,7.7,1072,爱是地狱冥犬,
3007504,9.1,244,幽梦影,[清] 张潮
